Parameters,Units,Name,
tfrz,K,Freezing point of water,
rgas,J/K/mol,Universal gas constant,
grav,m/s2,Gravitational acceleration,
tfrz,K,Freezing point of water,
visc0,m2/s,Kinematic viscosity at 0C and 1013.25 hPa,
Dh0,heat at 0C and 1013.25 hPa,Molecular diffusivity,
Dv0,H2O at 0C and 1013.25 hPa,Molecular diffusivity,
Dc0,CO2 at 0C and 1013.25 hPa,Molecular diffusivity,
patm,Pa,Atmospheric pressure,
rhomol,mol/m3,Molar density,
wind,m/s,Wind speed,
tair,K,Air temperature,
dleaf,m,Leaf dimension,
colim_c3,,Empirical curvature parameter for C3 co-limitation,
vcmax25,umol/m2/s,Maximum carboxylation rate at 25C,
jmax25,umol/m2/s,Maximum electron transport rate at 25C,
rd25,umol CO2/m2/s,Leaf respiration rate at 25C,
kc25,umol/mol,Michaelis-Menten constant for CO2 at 25C,
ko25,mmol/mol,Michaelis-Menten constant for O2 at 25C,
cp25,umol/mol,CO2 compensation point at 25C,
kcha,J/mol,Activation energy for Kc,
koha,J/mol,Activation energy for Ko,
cpha,J/mol,Activation energy for Cp,
vcmaxha,J/mol,Activation energy for Vcmax,
jmaxha,J/mol,Activation energy for Jmax,
rdha,J/mol,Activation energy for Rd,
vcmaxhd,J/mol,Deactivation energy for Vcmax,
jmaxhd,J/mol,Deactivation energy for Jmax,
rdhd,J/mol,Deactivation energy for Rd,
vcmaxse,J/mol/K,Entropy term for Vcmax,
jmaxse,J/mol/K,Entropy term for Jmax,
rdse,J/mol/K,Entropy term for Rd,
vcmaxc,25 C = 1.0,Vcmax scaling factor for high temperature inhibition,
jmaxc,25 C = 1.0,Jmax scaling factor for high temperature inhibition,
rdc,25 C = 1.0,Rd scaling factor for high temperature inhibition,
phi_psii,,Quantum yield of PS II,
theta_j,,Empirical curvature parameter for electron transport rate,
kp25_c4,mol/m2/s,C4: Initial slope of CO2 response curve at 25C,
g0,mol H2O/m2/s,Ball-Berry minimum leaf conductance,
g1,,Ball-Berry slope of conductance-photosynthesis relationship,